id_sentence,word,tag
HURRICANE_FLORENCE_2018_0,Three,O
HURRICANE_FLORENCE_2018_0,days,O
HURRICANE_FLORENCE_2018_0,after,O
HURRICANE_FLORENCE_2018_0,#,O
HURRICANE_FLORENCE_2018_0,Florence,O
HURRICANE_FLORENCE_2018_0,made,O
HURRICANE_FLORENCE_2018_0,landfall,O
HURRICANE_FLORENCE_2018_0,",",O
HURRICANE_FLORENCE_2018_0,the,O
HURRICANE_FLORENCE_2018_0,storm,O
HURRICANE_FLORENCE_2018_0,is,O
HURRICANE_FLORENCE_2018_0,still,O
HURRICANE_FLORENCE_2018_0,battering,O
HURRICANE_FLORENCE_2018_0,the,O
HURRICANE_FLORENCE_2018_0,Carolinas,O
HURRICANE_FLORENCE_2018_0,.,O
HURRICANE_FLORENCE_2018_0,More,O
HURRICANE_FLORENCE_2018_0,than,O
HURRICANE_FLORENCE_2018_0,30,O
HURRICANE_FLORENCE_2018_0,American,O
HURRICANE_FLORENCE_2018_0,Red,O
HURRICANE_FLORENCE_2018_0,Cross,O
HURRICANE_FLORENCE_2018_0,volunteers,O
HURRICANE_FLORENCE_2018_0,from,O
HURRICANE_FLORENCE_2018_0,Connecticut,U-STAT
HURRICANE_FLORENCE_2018_0,are,O
HURRICANE_FLORENCE_2018_0,stationed,O
HURRICANE_FLORENCE_2018_0,in,O
HURRICANE_FLORENCE_2018_0,the,O
HURRICANE_FLORENCE_2018_0,south,O
HURRICANE_FLORENCE_2018_0,to,O
HURRICANE_FLORENCE_2018_0,help,O
HURRICANE_FLORENCE_2018_0,with,O
HURRICANE_FLORENCE_2018_1,Florence,U-CITY
HURRICANE_FLORENCE_2018_1,",",O
HURRICANE_FLORENCE_2018_1,now,O
HURRICANE_FLORENCE_2018_1,a,O
HURRICANE_FLORENCE_2018_1,Category,O
HURRICANE_FLORENCE_2018_1,2,O
HURRICANE_FLORENCE_2018_1,hurricane,O
HURRICANE_FLORENCE_2018_1,",",O
HURRICANE_FLORENCE_2018_1,is,O
HURRICANE_FLORENCE_2018_1,forecast,O
HURRICANE_FLORENCE_2018_1,to,O
HURRICANE_FLORENCE_2018_1,unleash,O
HURRICANE_FLORENCE_2018_1,extreme,O
HURRICANE_FLORENCE_2018_1,storm,O
HURRICANE_FLORENCE_2018_1,surge,O
HURRICANE_FLORENCE_2018_1,",",O
HURRICANE_FLORENCE_2018_1,possibly,O
HURRICANE_FLORENCE_2018_1,historic,O
HURRICANE_FLORENCE_2018_1,flooding,O
HURRICANE_FLORENCE_2018_1,rains,O
HURRICANE_FLORENCE_2018_1,",",O
HURRICANE_FLORENCE_2018_1,and,O
HURRICANE_FLORENCE_2018_1,damaging,O
HURRICANE_FLORENCE_2018_1,winds,O
HURRICANE_FLORENCE_2018_1,in,O
HURRICANE_FLORENCE_2018_1,the,O
HURRICANE_FLORENCE_2018_2,RT,O
HURRICANE_FLORENCE_2018_2,@annamoor1995,O
HURRICANE_FLORENCE_2018_2,:,O
HURRICANE_FLORENCE_2018_2,Rescue,O
HURRICANE_FLORENCE_2018_2,the,O
HURRICANE_FLORENCE_2018_2,#,O
HURRICANE_FLORENCE_2018_2,Pigs,O
HURRICANE_FLORENCE_2018_2,#,O
HURRICANE_FLORENCE_2018_2,Trapped,O
HURRICANE_FLORENCE_2018_2,During,O
HURRICANE_FLORENCE_2018_2,Hurricane,O
HURRICANE_FLORENCE_2018_2,Florence,O
HURRICANE_FLORENCE_2018_2,@moveon,O
HURRICANE_FLORENCE_2018_3,In,O
HURRICANE_FLORENCE_2018_3,Winnabow,U-CNTY
HURRICANE_FLORENCE_2018_3,",",O
HURRICANE_FLORENCE_2018_3,North,B-STAT
HURRICANE_FLORENCE_2018_3,Carolina,L-STAT
HURRICANE_FLORENCE_2018_3,some,O
HURRICANE_FLORENCE_2018_3,residents,O
HURRICANE_FLORENCE_2018_3,are,O
HURRICANE_FLORENCE_2018_3,cutoff,O
HURRICANE_FLORENCE_2018_3,and,O
HURRICANE_FLORENCE_2018_3,say,O
HURRICANE_FLORENCE_2018_3,they,O
HURRICANE_FLORENCE_2018_3,need,O
HURRICANE_FLORENCE_2018_3,help,O
HURRICANE_FLORENCE_2018_3,getting,O
HURRICANE_FLORENCE_2018_3,food,O
HURRICANE_FLORENCE_2018_3,and,O
HURRICANE_FLORENCE_2018_3,supplies,O
HURRICANE_FLORENCE_2018_3,.,O
HURRICANE_FLORENCE_2018_3,This,O
HURRICANE_FLORENCE_2018_3,is,O
HURRICANE_FLORENCE_2018_3,less,O
HURRICANE_FLORENCE_2018_3,than,O
HURRICANE_FLORENCE_2018_3,15,O
HURRICANE_FLORENCE_2018_3,miles,O
HURRICANE_FLORENCE_2018_3,south,O
HURRICANE_FLORENCE_2018_3,of,O
HURRICANE_FLORENCE_2018_3,Wilmington,U-CITY
HURRICANE_FLORENCE_2018_3,.,O
HURRICANE_FLORENCE_2018_3,That,O
HURRICANE_FLORENCE_2018_3,’s,O
HURRICANE_FLORENCE_2018_3,Highway,O
HURRICANE_FLORENCE_2018_3,17,O
HURRICANE_FLORENCE_2018_3,underwater,O
HURRICANE_FLORENCE_2018_3,in,O
HURRICANE_FLORENCE_2018_3,the,O
HURRICANE_FLORENCE_2018_3,background,O
HURRICANE_FLORENCE_2018_3,.,O
HURRICANE_FLORENCE_2018_3,#,O
HURRICANE_FLORENCE_2018_3,Florence,U-CITY
HURRICANE_FLORENCE_2018_3,@ABC,O
HURRICANE_FLORENCE_2018_3,@ABC11_WTVD,O
HURRICANE_FLORENCE_2018_3,@wpdeabc15,O
HURRICANE_FLORENCE_2018_4,#,O
HURRICANE_FLORENCE_2018_4,Flood,O
HURRICANE_FLORENCE_2018_4,Safety,O
HURRICANE_FLORENCE_2018_4,:,O
HURRICANE_FLORENCE_2018_4,Avoid,O
HURRICANE_FLORENCE_2018_4,driving,O
HURRICANE_FLORENCE_2018_4,through,O
HURRICANE_FLORENCE_2018_4,pools,O
HURRICANE_FLORENCE_2018_4,of,O
HURRICANE_FLORENCE_2018_4,standing,O
HURRICANE_FLORENCE_2018_4,water,O
HURRICANE_FLORENCE_2018_4,.,O
HURRICANE_FLORENCE_2018_4,TURN,O
HURRICANE_FLORENCE_2018_4,AROUND,O
HURRICANE_FLORENCE_2018_4,",",O
HURRICANE_FLORENCE_2018_4,DON’T,O
HURRICANE_FLORENCE_2018_4,DROWN,O
HURRICANE_FLORENCE_2018_4,!,O
HURRICANE_FLORENCE_2018_4,#,O
HURRICANE_FLORENCE_2018_4,StormTrack2,O
HURRICANE_FLORENCE_2018_4,#,O
HURRICANE_FLORENCE_2018_4,Florence,O
HURRICANE_FLORENCE_2018_5,Bring,O
HURRICANE_FLORENCE_2018_5,WATER,O
HURRICANE_FLORENCE_2018_5,to,O
HURRICANE_FLORENCE_2018_5,@TerryJOnAir,O
HURRICANE_FLORENCE_2018_5,at,O
HURRICANE_FLORENCE_2018_5,@AtlanticStation,O
HURRICANE_FLORENCE_2018_5,and,O
HURRICANE_FLORENCE_2018_5,enter,O
HURRICANE_FLORENCE_2018_5,for,O
HURRICANE_FLORENCE_2018_5,a,O
HURRICANE_FLORENCE_2018_5,chance,O
HURRICANE_FLORENCE_2018_5,to,O
HURRICANE_FLORENCE_2018_5,win,O
HURRICANE_FLORENCE_2018_5,@Drake,O
HURRICANE_FLORENCE_2018_5,and,O
HURRICANE_FLORENCE_2018_5,@Migos,O
HURRICANE_FLORENCE_2018_5,tickets,O
HURRICANE_FLORENCE_2018_5,!,O
HURRICANE_FLORENCE_2018_5,!,O
HURRICANE_FLORENCE_2018_5,!,O
HURRICANE_FLORENCE_2018_5,The,O
HURRICANE_FLORENCE_2018_5,more,O
HURRICANE_FLORENCE_2018_5,donations,O
HURRICANE_FLORENCE_2018_5,the,O
HURRICANE_FLORENCE_2018_5,more,O
HURRICANE_FLORENCE_2018_5,chances,O
HURRICANE_FLORENCE_2018_5,to,O
HURRICANE_FLORENCE_2018_5,win,O
HURRICANE_FLORENCE_2018_5,!,O
HURRICANE_FLORENCE_2018_5,@PKintheMorning,O
HURRICANE_FLORENCE_2018_5,&,O
HURRICANE_FLORENCE_2018_5,@dkpower961,O
HURRICANE_FLORENCE_2018_5,are,O
HURRICANE_FLORENCE_2018_5,helping,O
HURRICANE_FLORENCE_2018_5,the,O
HURRICANE_FLORENCE_2018_5,victims,O
HURRICANE_FLORENCE_2018_5,of,O
HURRICANE_FLORENCE_2018_5,#,O
HURRICANE_FLORENCE_2018_5,HurricaneFlorence,O
HURRICANE_FLORENCE_2018_5,!,O
HURRICANE_FLORENCE_2018_6,Convoy,O
HURRICANE_FLORENCE_2018_6,of,O
HURRICANE_FLORENCE_2018_6,Hope,O
HURRICANE_FLORENCE_2018_6,spent,O
HURRICANE_FLORENCE_2018_6,the,O
HURRICANE_FLORENCE_2018_6,day,O
HURRICANE_FLORENCE_2018_6,delivering,O
HURRICANE_FLORENCE_2018_6,supplies,O
HURRICANE_FLORENCE_2018_6,to,O
HURRICANE_FLORENCE_2018_6,#,O
HURRICANE_FLORENCE_2018_6,HurricaneFlorence,O
HURRICANE_FLORENCE_2018_6,affected,O
HURRICANE_FLORENCE_2018_6,neighborhoods,O
HURRICANE_FLORENCE_2018_6,.,O
HURRICANE_FLORENCE_2018_6,The,O
HURRICANE_FLORENCE_2018_6,generosity,O
HURRICANE_FLORENCE_2018_6,of,O
HURRICANE_FLORENCE_2018_6,friends,O
HURRICANE_FLORENCE_2018_6,like,O
HURRICANE_FLORENCE_2018_6,you,O
HURRICANE_FLORENCE_2018_6,is,O
